phase,L_hip,L_knee,L_ankle,R_hip,R_knee,R_ankle
0.0,-7.628295592472074,-6.531272773301772,23.440432997304242,-22.762692969827082,56.73400500342457,-19.763372803754308
1.0,-7.067234466000642,-6.227185474545117,24.577515315262605,-22.734039198895324,56.589108700017704,-20.25106490892766
2.0,-6.583984848837719,-5.81045072624806,25.37966685708611,-22.689638490994493,56.214597706195434,-20.457953846156812
3.0,-6.173939334333898,-5.293347151590183,25.865864536623732,-22.629862420014007,55.62746388147701,-20.400787428753492
4.0,-5.832490515839769,-4.688153373751065,26.055085267724436,-22.55508255984328,54.84469908538171,-20.096313470029436
5.0,-5.555030986705926,-4.007148015910287,25.966305964237208,-22.46567048437174,53.8832951774288,-19.561279783296364
6.0,-5.3369533402829585,-3.262609701247431,25.618503540011012,-22.361997767488795,52.76024401713754,-18.81243418186601
7.0,-5.17365016992146,-2.466817052942077,25.030654908894824,-22.24443598308387,51.4925374640272,-17.8665244790501
8.0,-5.0605140689720205,-1.6320486941738066,24.221736984737618,-22.11335670504638,50.097167377617055,-16.74029848816036
9.0,-4.992937630785233,-0.7705832481221986,23.210726681388365,-21.96913150726575,48.59112561742636,-15.450504022508525
10.0,-4.96631344871169,0.10530066203316402,22.016600912696042,-21.81213196363139,46.99140404297439,-14.013888895406316
11.0,-4.976034116101981,0.983324413112701,20.65833659250962,-21.642729648032724,45.314994513780405,-12.447200920165466
12.0,-5.0174922263066986,1.8512093819368314,19.154910634678075,-21.46129613435917,43.57888888936367,-10.767187910097704
13.0,-5.0860803726764345,2.696676945325976,17.52529995305038,-21.268202996500143,41.80007902924346,-8.990597678514757
14.0,-5.177191148561781,3.507448480100555,15.788481461475502,-21.063821808345065,39.99555679293904,-7.134178038728352
15.0,-5.286217147313205,4.27124536308088,13.963432073802089,-20.848524143782868,38.18231403996875,-5.214676804050111
16.0,-5.384295156245184,4.938527839375846,12.043651476395036,-20.613796680907853,36.44091814233737,-3.2789405050478546
17.0,-5.497336418729583,5.504065030777047,10.063425411749144,-20.3616207370682,34.71411978910653,-1.305844936395897
18.0,-5.620211024778476,5.9463997242560005,8.058425345862819,-20.092107462350675,33.018748170333254,0.6747721856775046
19.0,-5.746530383296328,6.2605754561668245,6.0645880721626355,-19.809677807975945,31.38130300241916,2.6400583827901176
20.0,-5.869453005848919,6.447310691831033,4.089009980633573,-19.51598881903044,29.81173354965143,4.569987920853001
21.0,-5.982696592608727,6.500783970690236,2.1729478629103363,-19.21518564388336,28.335652339339436,6.440301374168526
22.0,-6.079353552305204,6.439447487842445,0.32651808357681705,-18.914016256317495,26.9723207186248,8.243056600753526
23.0,-6.15255291773955,6.268696612754213,-1.4373242628490865,-18.61580415648322,25.729189192340918,9.97068054811769
24.0,-6.196422940853044,6.000773736238221,-3.0851700400938977,-18.327404303923032,24.63353091708657,11.603726183883023
25.0,-6.210940203207981,5.6493652772395855,-4.60251062504853,-18.05526890684741,23.687542568580035,13.144097976769132
26.0,-6.191487207311316,5.227769601647998,-5.962805918831214,-17.80588956725027,22.90760849349233,14.580563192661351
27.0,-6.138399998250705,4.753026485776683,-7.150596366710113,-17.583252897691313,22.301168336577494,15.90519338985209
28.0,-6.0553958392501075,4.239968296837477,-8.150067389009024,-17.39470080136176,21.870421218832988,17.12764551265097
29.0,-5.940921525703359,3.7088126795688137,-8.94843092475629,-17.243076716077486,21.620055724591047,18.23495072495824
30.0,-5.80223831573297,3.1738361846154697,-9.549226881457693,-17.129987512696694,21.54641788022414,19.233232513714288
31.0,-5.64430199142352,2.6557957518827044,-9.94858892322926,-17.061184869967008,21.65070836498709,20.124804666576367
32.0,-5.467885728207737,2.1693769999212456,-10.150738103655916,-17.033678469623272,21.922842350412562,20.906006402512727
33.0,-5.279487235252096,1.7275648237612407,-10.1645016117192,-17.049543695055004,22.366406029411305,21.592574572999055
34.0,-5.082125536756218,1.347128018527599,-9.998536322453914,-17.107024759868324,22.968344717674253,22.188904112812352
35.0,-4.874197248284583,1.0249487694450654,-9.675009935046868,-17.19617893633637,23.7123317178371,22.694809296304918
36.0,-4.666916557695341,0.7789348041334813,-9.217280578458771,-17.324072535804998,24.60878740151489,23.125353234871383
37.0,-4.456570533230032,0.6061875306811231,-8.649438732732206,-17.476139826913546,25.621941395266287,23.481735082011106
38.0,-4.243055901401455,0.49388248159303494,-8.002252935809967,-17.64495830423594,26.747054754799137,23.763361991938094
39.0,-4.032267665934308,0.44636286137329406,-7.310158952667908,-17.828497622297895,27.973411042024445,23.977327711375015
40.0,-3.814066232285213,0.4444800589768987,-6.591628670836469,-18.005573176621656,29.258709664333978,24.120799227071807
41.0,-3.596922372499087,0.48423079196042695,-5.873011314506911,-18.185244403383116,30.624425340023556,24.165186698111427
42.0,-3.373533603769588,0.5489655624823103,-5.178771235531174,-18.34839243304495,32.02750598402447,24.114764456943693
43.0,-3.128313919462321,0.6127655562251099,-4.505195888102959,-18.47388800734497,33.429240432230834,23.95744962800409
44.0,-2.873982651755096,0.6766181957373174,-3.900135838310531,-18.58023113178554,34.86967389858403,23.655339264986317
45.0,-2.5851994272502075,0.7054393630751385,-3.353327233932315,-18.624952095363824,36.25699747613774,23.23111071257606
46.0,-2.2525246616223766,0.6817399213422166,-2.8885200436144274,-18.603307671574953,37.60365500950849,22.64229297632873
47.0,-1.8681189189196459,0.5872403353122869,-2.540417562618347,-18.502751231232175,38.89320262264255,21.872556113613793
48.0,-1.4000719414331801,0.3838198741751149,-2.245658403925613,-18.274279521240032,40.00585722722692,20.97653514212793
49.0,-0.8437699250560453,0.06562963938783026,-2.16264577909764,-17.910724114483102,40.95806383286948,19.847522831153633
50.0,-0.170318808025676,-0.40466445705286425,-2.205360053046281,-17.366455898541037,41.62629996325204,18.562494624844636
51.0,0.656390673953398,-1.0873848107548179,-2.253516991671463,-16.588502623628738,41.65151708131614,17.23125438676645
52.0,1.679320557916648,-2.1140258274315062,-2.284036969973584,-15.504987092975885,40.11269744937762,15.944727919172475
53.0,2.9133281878149426,-3.4614793360351777,-2.1256586217672373,-14.098394793833087,37.3036909144622,14.807729410469552
54.0,4.389888645603667,-5.190967807790863,-1.4750995106349067,-12.324519159758617,33.66097978988204,13.999923997805993
55.0,6.124126401170676,-7.311057480186878,-0.13982059830179838,-10.163660213047066,29.505196402216658,13.643562960945031
56.0,8.107806144025204,-9.733066024818612,1.9267903000650377,-7.634569727538444,25.016394777562617,13.754655426515741
57.0,10.362344603355512,-12.333041623563005,4.955381850694675,-4.712222588367661,20.526753977342008,14.448523878262483
58.0,12.86424902656023,-15.041740155570224,8.916207329333886,-1.4375881043313554,16.151816352614734,15.706957161442318
59.0,15.59612164052084,-17.78040545980138,13.78474029383593,2.1589158583192956,12.017331449477723,17.50205527207676
60.0,18.54450759162052,-20.465344385915607,19.562065044984674,6.049960737607232,8.269612027859637,19.82664196852594
61.0,21.670135465464817,-23.04801859428667,26.150717450794232,10.17635055516989,4.966992372151438,22.624875596599743
62.0,24.94891611451857,-25.461128539606424,33.48948906649123,14.499197832570664,2.1899231861540884,25.849702161398127
63.0,28.340752023367273,-27.655885577961612,41.48089346852501,18.958361275797138,-0.0026680393394686863,29.44574218549338
64.0,31.803741116311308,-29.610860427638194,49.99427278200503,23.494120322108387,-1.586394747814003,33.334494605390034
65.0,35.308113238136315,-31.28228729180082,58.93596627302294,28.057766304834676,-2.513810424033152,37.44977317252172
66.0,38.800931173434186,-32.651725501083746,68.1608042463467,32.57672412285316,-2.7628762439345946,41.71526835489805
67.0,42.250110178535245,-33.720188787310846,77.53875085099696,37.005619298211926,-2.3481040835469553,46.04018804333463
68.0,45.61177784245145,-34.46859022978469,86.94142484007584,41.28259406914421,-1.2555958522102726,50.34560604447532
69.0,48.84373880794797,-34.90742350058717,96.21501078036536,45.35155678471911,0.4978855186212726,54.54608709658651
70.0,51.91862815940906,-35.04815310604367,105.24916584160846,49.17438326140585,2.87368670369139,58.558003799077575
71.0,54.793063917783186,-34.90008288764237,113.88787952053664,52.69339232880876,5.858008227753676,62.29533466685756
72.0,57.451023383826765,-34.50306536009096,122.00617014868172,55.88868431934045,9.363508882864686,65.68733992494762
73.0,59.87042239967856,-33.883356092376815,129.53544681378654,58.73067205270686,13.324129976481899,68.65240303368822
74.0,62.02426576598136,-33.073880533454286,136.29710879562884,61.18592488813456,17.676445865945052,71.11886683106388
75.0,63.926700885731904,-32.14474800886694,142.52638095864253,63.282307016215654,22.22874967812835,73.0577689740749
76.0,65.56386661618221,-31.138846851108614,148.25781178805346,65.00501089015393,26.880798676496212,74.40523182755663
77.0,66.94790517748315,-30.123888809800555,153.20461507952155,66.38133180940909,31.42044625878488,75.17136485681814
78.0,68.10408837599296,-29.182057435741637,157.5649584811538,67.45845502321961,35.577725178805196,75.37552201969768
79.0,69.04104140101424,-28.37492459251114,160.96534273088383,68.25659537308316,39.16948490498779,75.01035154046416
80.0,69.80422479746214,-27.804897895941185,163.0286798577392,68.84968629019373,41.83266323626855,74.28739617592016
81.0,70.42562642794279,-27.559145572340384,162.85305241128734,69.2916124805403,43.27439445627434,73.29439989628113
82.0,70.93039478752026,-27.677440386075325,160.6390427467386,69.62257250851727,43.552699184148636,72.13345082237625
83.0,71.32818574843753,-28.089590121120157,156.64234696457228,69.84858066992021,43.696797212130434,70.91009983913935
84.0,71.65016850891436,-28.827785318030443,151.09663417313186,70.01662076787414,43.869214687047446,69.73728666950551
85.0,71.9032312894052,-29.784625347644788,144.14717144759325,70.12952083925741,44.06592086600558,68.62651691487143
86.0,72.09628116003402,-30.866224518138587,137.70755331087076,70.20623211291746,44.37132136964908,67.6316639137172
87.0,72.22827134271218,-32.039480011122166,130.23144871027344,70.22212400728544,44.630852417740584,66.6693158344353
88.0,72.30999878508904,-33.28418597742486,121.7271956807271,70.18957083341476,44.877384989144275,65.7678233779329
89.0,72.35226043481231,-34.580136567875314,112.20313225715432,70.12094690235723,45.1437900627234,64.95553724511558
90.0,72.36585323952967,-35.907125933302154,101.66759647447768,70.02862652516464,45.46293861734111,64.26080813688895
91.0,72.36157414688883,-37.24494822453404,90.12892636761967,69.9249840128888,45.86770163186061,63.71198675415859
92.0,72.35022010453748,-38.57339759239959,77.59545997150289,69.8223936765815,46.39095008514512,63.33742379783004
93.0,72.34258806012332,-39.87226818772743,64.07553532104984,69.73322982729452,47.06555495605785,63.16546996880893
94.0,72.34947496129406,-41.121354161346204,49.57749045118308,69.66986677607969,47.92438722346195,63.2244759680008
95.0,72.38167775569737,-42.300449664084574,34.1096633968251,69.64467883398879,49.000317866220655,63.54279249631127
96.0,72.44999339098096,-43.38934884677116,17.68039219289861,69.67004031207362,50.32621786319716,64.14877025464591
97.0,72.56521881479253,-44.36784586023461,0.29801487432598606,69.75832552138598,51.93495819325466,65.07075994391029
98.0,72.73815097477978,-45.21573485530353,-18.029130523970224,69.92190877297769,53.85940983525633,66.33711226500999
99.0,72.9795868185904,-45.91280998280659,-37.292705967067405,70.17316437790052,56.132443768065414,67.97617791885061
100.0,73.30032329387205,-46.438865393572414,-57.48437342004297,70.52446664720627,58.786930970545086,70.0163076063377
