frame,time_sec,LShoulder_Xcam,LShoulder_Ycam,LShoulder_Zcam,LHip_Xcam,LHip_Ycam,LHip_Zcam,LKnee_Xcam,LKnee_Ycam,LKnee_Zcam,LAnkle_Xcam,LAnkle_Ycam,LAnkle_Zcam,LHeel_Xcam,LHeel_Ycam,LHeel_Zcam,LBigToe_Xcam,LBigToe_Ycam,LBigToe_Zcam,RShoulder_Xcam,RShoulder_Ycam,RShoulder_Zcam,RHip_Xcam,RHip_Ycam,RHip_Zcam,RKnee_Xcam,RKnee_Ycam,RKnee_Zcam,RAnkle_Xcam,RAnkle_Ycam,RAnkle_Zcam,RHeel_Xcam,RHeel_Ycam,RHeel_Zcam,RBigToe_Xcam,RBigToe_Ycam,RBigToe_Zcam
0,0.0,-0.13898354768753052,-0.20911908149719238,0.921000063419342,-0.1419823318719864,-0.0023593762889504433,0.8270000219345093,-0.2447897344827652,-0.3228980004787445,0.8710000514984131,-0.20069822669029236,-0.287188857793808,0.8230000138282776,-0.20446670055389404,-0.3035469949245453,0.831000030040741,-0.21537217497825623,-0.29178935289382935,0.831000030040741,-0.32273533940315247,-0.21903294324874878,0.9740000367164612,-0.2744109332561493,-0.0025476699229329824,0.893000066280365,-0.23699571192264557,-0.2841882109642029,0.8600000143051147,-0.2087985873222351,-0.287188857793808,0.8230000138282776,-0.20064450800418854,-0.30464282631874084,0.8340000510215759,-0.19450919330120087,-0.30017298460006714,0.8470000624656677
1,0.03333333333333333,-0.139738067984581,-0.21025437116622925,0.9260000586509705,-0.14181065559387207,-0.0023565234150737524,0.8260000348091125,-0.2456328570842743,-0.32401013374328613,0.8740000128746033,-0.20216141641139984,-0.28928259015083313,0.8290000557899475,-0.20520485937595367,-0.30464282631874084,0.8340000510215759,-0.21744555234909058,-0.29459840059280396,0.8390000462532043,-0.32439208030700684,-0.22015734016895294,0.9790000319480896,-0.2753327786922455,-0.002556228544563055,0.8960000276565552,-0.23809802532196045,-0.28551003336906433,0.8640000224113464,-0.21082822978496552,-0.2899805009365082,0.831000030040741,-0.20280973613262177,-0.3079303503036499,0.843000054359436,-0.19611670076847076,-0.3026537597179413,0.8540000319480896
2,0.06666666666666667,-0.14090274274349213,-0.2104814201593399,0.9270000457763672,-0.1403723955154419,-0.005133031401783228,0.8390000462532043,-0.24747656285762787,-0.31328561902046204,0.8840000629425049,-0.2008850872516632,-0.2895587384700775,0.8350000381469727,-0.20495881140232086,-0.29974451661109924,0.8330000638961792,-0.21443705260753632,-0.29242318868637085,0.8380000591278076,-0.3229091465473175,-0.21740403771400452,0.9810000658035278,-0.27232205867767334,0.0013489804696291685,0.8990000486373901,-0.23081466555595398,-0.28165969252586365,0.8580000400543213,-0.20678076148033142,-0.28886517882347107,0.8330000638961792,-0.2024686485528946,-0.3001043498516083,0.8340000510215759,-0.19682219624519348,-0.29486584663391113,0.8450000286102295
3,0.1,-0.14181473851203918,-0.21184375882148743,0.9330000281333923,-0.13987046480178833,-0.005114677362143993,0.8360000252723694,-0.25111591815948486,-0.31789276003837585,0.8970000147819519,-0.20280973613262177,-0.2923329472541809,0.843000054359436,-0.20889559388160706,-0.30550190806388855,0.8490000367164612,-0.21776363253593445,-0.2969595491886139,0.8510000109672546,-0.32751742005348206,-0.22050663828849792,0.9950000643730164,-0.27777454257011414,0.0013759901048615575,0.9170000553131104,-0.23404285311698914,-0.2855989933013916,0.8700000643730164,-0.20926311612129211,-0.2923329472541809,0.843000054359436,-0.20562463998794556,-0.3047822415828705,0.8470000624656677,-0.19891853630542755,-0.29800641536712646,0.8540000319480896
4,0.13333333333333333,-0.14227072894573212,-0.21252493560314178,0.9360000491142273,-0.13987046480178833,-0.005114677362143993,0.8360000252723694,-0.25083595514297485,-0.3175383508205414,0.8960000276565552,-0.20305031538009644,-0.29267972707748413,0.8440000414848328,-0.20889559388160706,-0.30550190806388855,0.8490000367164612,-0.2185313105583191,-0.29800641536712646,0.8540000319480896,-0.32718825340270996,-0.22028501331806183,0.9940000176429749,-0.27656289935112,0.0013699879636988044,0.9130000472068787,-0.2345808744430542,-0.28625553846359253,0.8720000386238098,-0.21000781655311584,-0.2933732867240906,0.8460000157356262,-0.20586740970611572,-0.3051420748233795,0.8480000495910645,-0.19915145635604858,-0.298355370759964,0.8550000190734863
5,0.16666666666666666,-0.13743814826011658,-0.21037638187408447,0.9310000538825989,-0.13613195717334747,0.0003443658642936498,0.8355000019073486,-0.21026773750782013,-0.33732742071151733,0.8740000128746033,-0.2003161907196045,-0.29359936714172363,0.8520000576972961,-0.20728249847888947,-0.3040114939212799,0.8500000238418579,-0.2166634202003479,-0.2970769703388214,0.8540000319480896,-0.32620829343795776,-0.21856796741485596,1.0010000467300415,-0.2685960829257965,0.0003721871762536466,0.9030000567436218,-0.24264280498027802,-0.28923270106315613,0.8840000629425049,-0.20815743505954742,-0.2915317416191101,0.8460000157356262,-0.2040126472711563,-0.30329617857933044,0.8480000495910645,-0.19652339816093445,-0.30055561661720276,0.8640000224113464
6,0.2,-0.13743814826011658,-0.21037638187408447,0.9310000538825989,-0.1358060985803604,0.00034354152739979327,0.8335000276565552,-0.21171122789382935,-0.3396431803703308,0.8800000548362732,-0.20078641176223755,-0.2942885756492615,0.8540000319480896,-0.20923340320587158,-0.30687278509140015,0.8580000400543213,-0.21843935549259186,-0.29951202869415283,0.8610000610351562,-0.3258824050426483,-0.2183496057987213,1.0,-0.26978588104248047,0.00037383585004135966,0.9070000648498535,-0.2459365874528885,-0.29315894842147827,0.8960000276565552,-0.2098797857761383,-0.29394397139549255,0.8530000448226929,-0.205696702003479,-0.30579981207847595,0.8550000190734863,-0.1972057819366455,-0.3015992045402527,0.8670000433921814
7,0.23333333333333334,-0.13773338496685028,-0.21082830429077148,0.9330000281333923,-0.13588756322860718,0.00034374764072708786,0.8340000510215759,-0.21147064864635468,-0.33925721049308777,0.8790000677108765,-0.2003161907196045,-0.29359936714172363,0.8520000576972961,-0.20972111821174622,-0.3075881004333496,0.8600000143051147,-0.2186930626630783,-0.299859881401062,0.862000048160553,-0.32490476965904236,-0.21769456565380096,0.9970000386238098,-0.26978588104248047,0.00037383585004135966,0.9070000648498535,-0.24703451991081238,-0.2944676876068115,0.9000000357627869,-0.21012583374977112,-0.2942885756492615,0.8540000319480896,-0.205696702003479,-0.30579981207847595,0.8550000190734863,-0.19652339816093445,-0.30055561661720276,0.8640000224113464
8,0.26666666666666666,-0.13627345860004425,-0.20812605321407318,0.9300000667572021,-0.13614509999752045,-0.0013993014581501484,0.7930000424385071,-0.24304300546646118,-0.3073171377182007,0.8890000581741333,-0.19844835996627808,-0.2931438982486725,0.8480000495910645,-0.20548012852668762,-0.3078066110610962,0.8580000400543213,-0.21850821375846863,-0.3009034991264343,0.8650000691413879,-0.32163378596305847,-0.21769456565380096,0.9970000386238098,-0.2682012617588043,0.00037301151314750314,0.9050000309944153,-0.2296464741230011,-0.2862880229949951,0.8750000596046448,-0.20494002103805542,-0.2931438982486725,0.8480000495910645,-0.20360350608825684,-0.3078066110610962,0.8580000400543213,-0.1963788866996765,-0.30472999811172485,0.8760000467300415
9,0.3,-0.13700611889362335,-0.2092450112104416,0.9350000619888306,-0.13494330644607544,-0.0013869494432583451,0.7860000133514404,-0.24495671689510345,-0.3097369372844696,0.8960000276565552,-0.19891639053821564,-0.29383528232574463,0.8500000238418579,-0.2064380794763565,-0.3092416226863861,0.862000048160553,-0.21850821375846863,-0.3009034991264343,0.8650000691413879,-0.32002076506614685,-0.21660281717777252,0.9920000433921814,-0.2699793875217438,0.0003754845238290727,0.9110000729560852,-0.23174609243869781,-0.2889055013656616,0.8830000162124634,-0.2061484009027481,-0.29487234354019165,0.8530000448226929,-0.2043154090642929,-0.30888286232948303,0.8610000610351562,-0.19324041903018951,-0.299859881401062,0.862000048160553
